hotel,country,total_reservas,cancelamentos,taxa_bruta,log_reservas,estimativa_bayesiana,erro_padrao,shrinkage,ic_inferior,ic_superior
City Hotel,CUB,4,0,0,0.6020599913279624,0.20128317475250562,0.09684362713330578,0.20128317475250562,0.011469665571226278,0.39109668393378494
City Hotel,CYP,43,9,0.20930232558139536,1.6334684555795864,0.2217662148056545,0.055444604866632545,0.012463889224259145,0.11309478926705471,0.33043764034425427
City Hotel,CZE,144,33,0.22916666666666666,2.1583624920952498,0.23195835709254414,0.03367064506053337,0.0027916904258774855,0.16596389277389872,0.29795282141118956
City Hotel,DEU,6084,1072,0.1761998685075608,3.7841892053809607,0.1763859842792756,0.004881246619942126,1.8611577171478988e-4,0.16681874090418902,0.18595322765436217
City Hotel,DMA,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,DNK,370,104,0.2810810810810811,2.568201724066995,0.28044538688864534,0.022949658295052168,6.35694192435754e-4,0.2354640566303431,0.3254267171469476
City Hotel,DOM,11,8,0.7272727272727273,1.0413926851582251,0.4742950668032828,0.10162717909777914,0.2529776604694445,0.2751057957716357,0.67348433783493
City Hotel,DZA,91,16,0.17582417582417584,1.9590413923210936,0.1867680119807119,0.03818965960222203,0.010943836156536074,0.11191627916035674,0.2616197448010671
City Hotel,ECU,25,8,0.32,1.3979400086720377,0.3002047344049235,0.07421527040568521,0.019795265595076494,0.1547428044097805,0.4456666644000665
City Hotel,EGY,31,11,0.3548387096774194,1.4913616938342726,0.32736197936580624,0.07062841467953872,0.02747673031161313,0.18893028659391037,0.4657936721377021
City Hotel,ESP,4611,1326,0.28757319453480806,3.6637951222194074,0.28750207224091606,0.0066557456573128546,7.112229389200087e-5,0.2744568107525829,0.30054733372924924
City Hotel,EST,50,14,0.28,1.6989700043360187,0.27636764587323764,0.05627867521374594,0.0036323541267623827,0.1660614424542956,0.3866738492921797
City Hotel,ETH,3,1,0.3333333333333333,0.47712125471966244,0.27570349459811716,0.11122499612477742,0.057629838735216155,0.05770250219355344,0.4937044870026809
City Hotel,FIN,296,53,0.17905405405405406,2.4712917110589387,0.18260344361135192,0.02197313218332826,0.0035493895572978607,0.13953610453202853,0.2256707826906753
City Hotel,FRA,8804,1723,0.1957064970467969,3.94468003388131,0.19580612351179202,0.004226001056551066,9.962646499511729e-5,0.18752316144095194,0.2040890855826321
City Hotel,FRO,5,4,0.8,0.6989700043360189,0.4106726530458738,0.11550084363451146,0.38932734695412624,0.18429099952223135,0.6370543065695162
City Hotel,GAB,4,2,0.5,0.6020599913279624,0.31795655561371594,0.11247624389842793,0.18204344438628406,0.0975031175727972,0.5384099936546347
City Hotel,GBR,5315,1562,0.2938852304797742,3.7255032688593155,0.2938079368290261,0.00624029740055356,7.729365074810035e-5,0.28157695392394116,0.30603891973411107
City Hotel,GEO,11,8,0.7272727272727273,1.0413926851582251,0.4742950668032828,0.10162717909777914,0.2529776604694445,0.2751057957716357,0.67348433783493
City Hotel,GGY,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
City Hotel,GHA,4,2,0.5,0.6020599913279624,0.31795655561371594,0.11247624389842793,0.18204344438628406,0.0975031175727972,0.5384099936546347
City Hotel,GIB,5,5,1,0.6989700043360189,0.4657937604950257,0.11711439485956023,0.5342062395049743,0.23624954657028766,0.6953379744197637
City Hotel,GLP,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
City Hotel,GNB,9,1,0.1111111111111111,0.9542425094393249,0.20099341270523113,0.08516456600157325,0.08988230159412003,0.03407086334214757,0.3679159620683147
City Hotel,GRC,118,33,0.2796610169491525,2.0718820073061255,0.277946089734338,0.03911960034691362,0.0017149272148145323,0.2012716730543873,0.35462050641428866
City Hotel,GTM,4,0,0,0.6020599913279624,0.20128317475250562,0.09684362713330578,0.20128317475250562,0.011469665571226278,0.39109668393378494
City Hotel,GUY,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,HKG,25,23,0.92,1.3979400086720377,0.6934733327866602,0.07465312976388092,0.2265266672133398,0.5471531984494536,0.8397934671238668
City Hotel,HND,1,1,1,0,0.3146945873504639,0.12349042568635764,0.6853054126495361,0.07265335300520293,0.5567358216957249
City Hotel,HRV,89,23,0.25842696629213485,1.9493900066449128,0.25895717377016886,0.04334447263735509,5.30207478034006e-4,0.1740020074009529,0.3439123401393848
City Hotel,HUN,183,68,0.37158469945355194,2.2624510897304293,0.3642790288125015,0.03436095277880925,0.007305670641050421,0.2969315613660354,0.43162649625896765
City Hotel,IDN,30,22,0.7333333333333333,1.4771212547196624,0.5899227310323396,0.07488260215297969,0.14341060230099367,0.44315283081249945,0.7366926312521798
City Hotel,IMN,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
City Hotel,IND,115,31,0.26956521739130435,2.060697840353612,0.26884553793875965,0.03916611132432985,7.19679452544697e-4,0.19207995974307313,0.3456111161344462
City Hotel,IRL,1209,400,0.3308519437551696,3.0824263008607717,0.33011746004118847,0.01345156346511145,7.344837139811045e-4,0.30375239564957,0.3564825244328069
City Hotel,IRN,78,23,0.2948717948717949,1.8920946026904804,0.29021096406398394,0.047540372714452515,0.004660830807810934,0.197031833543657,0.3833900945843109
City Hotel,IRQ,14,0,0,1.146128035678238,0.12712352026880516,0.06393953344602506,0.12712352026880516,0.001802034714596057,0.25244500582301427
City Hotel,ISL,51,4,0.0784313725490196,1.7075701760979363,0.11615455034167357,0.04000695229914102,0.03772317779265397,0.03774092383535717,0.19456817684799
City Hotel,ISR,641,157,0.24492979719188768,2.8068580295188172,0.24528374859620844,0.016822489426510538,3.5395140432076255e-4,0.21231166932024778,0.27825582787216907
City Hotel,ITA,3307,1253,0.3788932567281524,3.519434194913703,0.3784327354373669,0.008417053635331843,4.605212907854983e-4,0.36193531031211645,0.3949301605626173
City Hotel,JAM,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,JEY,5,5,1,0.6989700043360189,0.4657937604950257,0.11711439485956023,0.5342062395049743,0.23624954657028766,0.6953379744197637
City Hotel,JOR,19,3,0.15789473684210525,1.2787536009528289,0.20068434148879544,0.07064482114729768,0.04278960464669018,0.062220492040091974,0.33914819093749893
City Hotel,JPN,188,28,0.14893617021276595,2.27415784926368,0.1563591411516266,0.025608798227537286,0.007422970938860657,0.10616589662565352,0.2065523856775997
City Hotel,KAZ,14,4,0.2857142857142857,1.146128035678238,0.27449729768440073,0.08565814514224393,0.011216988029884967,0.10660733320560264,0.4423872621631988
City Hotel,KEN,6,2,0.3333333333333333,0.7781512503836436,0.28473550194999614,0.10314827192229438,0.048597831383337176,0.08256488898229916,0.4869061149176931
City Hotel,KHM,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
City Hotel,KIR,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,KNA,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,KOR,124,52,0.41935483870967744,2.093421685162235,0.4043285240902195,0.041906902132267776,0.015026314619457914,0.32219099591097466,0.4864660522694644
City Hotel,KWT,13,5,0.38461538461538464,1.1139433523068367,0.3232504001693132,0.09147769414291448,0.06136498444607141,0.14395411964920085,0.5025466806894257
City Hotel,LAO,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,LBN,25,6,0.24,1.3979400086720377,0.24776892128735864,0.06990336092042454,0.007768921287358649,0.11075833388332654,0.38477950869139077
City Hotel,LBY,8,0,0,0.9030899869919435,0.16320079721246053,0.0803711275836578,0.16320079721246053,0.005673387148491249,0.3207282072764298
City Hotel,LCA,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,LIE,3,1,0.3333333333333333,0.47712125471966244,0.27570349459811716,0.11122499612477742,0.057629838735216155,0.05770250219355344,0.4937044870026809
City Hotel,LKA,6,0,0,0.7781512503836436,0.18025250552428349,0.0878594571811311,0.18025250552428349,0.008047969449266529,0.35245704159930047
City Hotel,LTU,35,6,0.17142857142857143,1.5440680443502757,0.19630251209400879,0.05724634365954191,0.024873940665437355,0.08409967852130663,0.30850534566671095
City Hotel,LUX,207,83,0.40096618357487923,2.315970345456918,0.3927029869207904,0.03291405182089311,0.008263196654088811,0.3281914453518399,0.4572145284897409
City Hotel,LVA,22,5,0.22727272727272727,1.3424226808222062,0.24046443716118246,0.07209199553252023,0.013191709888455194,0.09916412591744281,0.38176474840492214
City Hotel,MAC,15,15,1,1.1760912590556813,0.6556198906199241,0.08957124469002271,0.3443801093800759,0.48006025102747957,0.8311795302123686
City Hotel,MAR,184,73,0.3967391304347826,2.2648178230095364,0.3877936731471213,0.03470242544318838,0.008945457287661274,0.31977691927847207,0.45581042701577057
City Hotel,MCO,4,1,0.25,0.6020599913279624,0.2596198651831108,0.1058929951490058,0.00961986518311081,0.052069594691059456,0.4671701356751622
City Hotel,MDV,6,5,0.8333333333333334,0.7781512503836436,0.44145999658856516,0.11349601971563268,0.3918733367447682,0.21900779794592512,0.6639121952312053
City Hotel,MEX,79,10,0.12658227848101267,1.8976270912904414,0.14597457213873785,0.036782859973831586,0.019392293657725185,0.07388016659002794,0.21806897768744776
City Hotel,MKD,9,2,0.2222222222222222,0.9542425094393249,0.2461567151640243,0.09154596874490648,0.023934492941802082,0.0667266164240076,0.42558681390404096
City Hotel,MLI,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,MLT,16,5,0.3125,1.2041199826559248,0.28997349722040844,0.08405387119322823,0.022526502779591562,0.12522790968168113,0.45471908475913575
City Hotel,MMR,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,MNE,5,2,0.4,0.6989700043360189,0.3004304381475701,0.10763323298406259,0.09956956185242993,0.08946930149880741,0.5113915747963328
City Hotel,MOZ,61,16,0.26229508196721313,1.7853298350107671,0.2623398894132131,0.05108913453096706,4.4807445999994755e-5,0.1622051857325177,0.36247459309390856
City Hotel,MRT,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,MUS,6,1,0.16666666666666666,0.7781512503836436,0.23249400373713983,0.09655051141284982,0.06582733707047317,0.04325500136795418,0.42173300610632547
City Hotel,MYS,18,3,0.16666666666666666,1.255272505103306,0.2071285382395663,0.072618791164225,0.040461871572899655,0.06479570755768532,0.3494613689214473
City Hotel,MYT,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
City Hotel,NAM,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,NCL,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,NGA,24,19,0.7916666666666666,1.380211241711606,0.6044490964826531,0.08023228672888985,0.18721757018401353,0.447193814494029,0.7617043784712771
City Hotel,NIC,1,1,1,0,0.3146945873504639,0.12349042568635764,0.6853054126495361,0.07265335300520293,0.5567358216957249
City Hotel,NLD,1590,331,0.20817610062893083,3.2013971243204513,0.20862181711355005,0.010148127616123269,4.4571648461921853e-4,0.18873148698594844,0.22851214724115165
City Hotel,NOR,484,158,0.32644628099173556,2.6848453616444123,0.32475713610228363,0.021002412400117167,0.0016891448894519323,0.283592407798054,0.36592186440651325
City Hotel,NULL,24,22,0.9166666666666666,1.380211241711606,0.6852204725493412,0.07620553530267256,0.23144619411732548,0.535857623356103,0.8345833217425793
City Hotel,NZL,60,6,0.1,1.7781512503836436,0.1292060219376203,0.039220764478712,0.029206021937620286,0.05233332355934478,0.2060787203158958
City Hotel,OMN,7,4,0.5714285714285714,0.8450980400142568,0.3698946477940318,0.10757112409231664,0.2015339236345396,0.1590552445730912,0.5807340510149724
City Hotel,PAK,10,7,0.7,1,0.45157845319257955,0.10344860291288496,0.2484215468074204,0.24881919148332504,0.6543377149018341
City Hotel,PAN,9,0,0,0.9542425094393249,0.155830110246438,0.07707853707205398,0.155830110246438,0.004756177585212212,0.3069040429076638
City Hotel,PER,28,6,0.21428571428571427,1.4471580313422192,0.229702004237006,0.0655797503648322,0.01541628995129174,0.10116569352193491,0.35823831495207714
City Hotel,PHL,24,16,0.6666666666666666,1.380211241711606,0.523677720415965,0.08195031177722256,0.14298894625070158,0.36305510933260887,0.6843003314993212
City Hotel,POL,586,176,0.3003412969283277,2.767897616018091,0.29951231743074347,0.018712971653223033,8.289794975842035e-4,0.26283489299042634,0.3361897418710606
City Hotel,PRI,3,2,0.6666666666666666,0.47712125471966244,0.3376541831698971,0.11770679513107006,0.32901248349676954,0.10694886471299977,0.5683595016267944
City Hotel,PRT,30960,20081,0.6486111111111111,4.490800952010855,0.6484473048951207,0.002712938381001609,1.6380621599043632e-4,0.6431299456683576,0.6537646641218838
City Hotel,PRY,4,0,0,0.6020599913279624,0.20128317475250562,0.09684362713330578,0.20128317475250562,0.011469665571226278,0.39109668393378494
